title,price,miles_covered,model,description,features,location,primary_image_url,all_links
honda city 2016 model 1.3 automatic,"Rs 3,300,000","46,000 km•2016",City IVTEC,"Honda City 1.3 prosmatic
2016 Model
Automatic Transmission 
Lahore Registered 
2nd Owner alloys rims 
100% Seal
Genuine millage:46000
New Tyres
Engine-Ac-Suspension 100%
75% original body rom totel original 
info sari da di ha jo ha yahi info ha bas fazol cal kr k sir na khana jis na ana lany wohi kre bs call final yaha he bata deta apni fzl offer pas rkhy yahi sa jawab la la ya 31 Lkh sa oper banni ha bat","ABS 
 Air Bags 
 Air Conditioning 
 Alloy Rims 
 AM/FM Radio 
 CD Player 
 Cassette Player 
 Cool Box 
 DVD Player 
 Front Speakers 
 Front Camera 
 Immobilizer Key 
 Keyless Entry 
 Navigation System 
 Power Locks 
 Power Mirrors 
 Power Steering 
 Power Windows 
 Rear Seat Entertainment 
 Rear AC Vents 
 Rear speakers 
 Rear Camera 
 USB and Auxillary Cable","Jhang Bazar, Faisalabad",https://images.olx.com.pk/thumbnails/348244925-400x300.jpeg,"https://images.olx.com.pk/thumbnails/348244926-400x300.jpeg
https://images.olx.com.pk/thumbnails/348244927-400x300.jpeg
https://images.olx.com.pk/thumbnails/348244928-400x300.jpeg
https://images.olx.com.pk/thumbnails/348244929-400x300.jpeg
https://images.olx.com.pk/thumbnails/348244930-400x300.jpeg
https://images.olx.com.pk/thumbnails/348244931-400x300.jpeg
https://images.olx.com.pk/thumbnails/348244932-400x300.jpeg
https://images.olx.com.pk/thumbnails/348244933-400x300.jpeg
https://images.olx.com.pk/thumbnails/348244934-400x300.jpeg
https://images.olx.com.pk/thumbnails/348244935-400x300.jpeg
https://images.olx.com.pk/thumbnails/348244936-400x300.jpeg"
toyota prius 2015  model 2018 import,"Rs 4,985,000","124,000 km•2015",Prius,"prius 15/18
total genuine body
battery abs 100%
no work required 
price is final
best car for family","ABS 
 Air Bags 
 Air Conditioning 
 Alloy Rims 
 AM/FM Radio 
 Cassette Player 
 Cool Box 
 Cruise Control 
 Climate Control 
 DVD Player 
 Front Speakers 
 Front Camera 
 Heated Seats 
 Immobilizer Key 
 Keyless Entry 
 Navigation System 
 Power Locks 
 Power Mirrors 
 Power Steering 
 Power Windows 
 Steering Switches 
 USB and Auxillary Cable","F-7 Markaz, Islamabad",https://images.olx.com.pk/thumbnails/348135344-400x300.jpeg,"https://images.olx.com.pk/thumbnails/348135345-400x300.jpeg
https://images.olx.com.pk/thumbnails/348135346-400x300.jpeg
https://images.olx.com.pk/thumbnails/348135347-400x300.jpeg
https://images.olx.com.pk/thumbnails/348135348-400x300.jpeg
https://images.olx.com.pk/thumbnails/348135349-400x300.jpeg
https://images.olx.com.pk/thumbnails/348135350-400x300.jpeg
https://images.olx.com.pk/thumbnails/348135351-400x300.jpeg
https://images.olx.com.pk/thumbnails/348135352-400x300.jpeg
https://images.olx.com.pk/thumbnails/348135353-400x300.jpeg
https://images.olx.com.pk/thumbnails/348135354-400x300.jpeg
https://images.olx.com.pk/thumbnails/348135355-400x300.jpeg
https://images.olx.com.pk/thumbnails/348135356-400x300.jpeg
https://images.olx.com.pk/thumbnails/348135357-400x300.jpeg
https://images.olx.com.pk/thumbnails/348135358-400x300.jpeg
https://images.olx.com.pk/thumbnails/348135359-400x300.jpeg
https://images.olx.com.pk/thumbnails/348135360-400x300.jpeg
https://images.olx.com.pk/thumbnails/348135361-400x300.jpeg"
Suzuki Mehran VXR Euro II 2013,"Rs 1,050,000","94,600 km•2013",Mehran VXR,"- 2nd Owner
- Token Tax upto date
- Documents available
- AC working, just needs gas refill. Last refill was done last summer
- Original Genuine JBL sound system installed
- Original Genuine Kenwood pre-amped CD player installed
- Original Genuine Kenwood pre-amped subwoofer installed, which is detachable
- 2 piece touch
- Only serious buyers contact, no chaska party
- Need to sell urgently
- Price is negotiable
- Dealers sy mazrat","Air Conditioning 
 CD Player 
 Front Speakers 
 Rear speakers 
 USB and Auxillary Cable","Soan Garden, Islamabad",https://images.olx.com.pk/thumbnails/348185251-400x300.jpeg,"https://images.olx.com.pk/thumbnails/348185252-400x300.jpeg
https://images.olx.com.pk/thumbnails/348185253-400x300.jpeg
https://images.olx.com.pk/thumbnails/348185254-400x300.jpeg
https://images.olx.com.pk/thumbnails/348185255-400x300.jpeg
https://images.olx.com.pk/thumbnails/348185256-400x300.jpeg
https://images.olx.com.pk/thumbnails/348185257-400x300.jpeg
https://images.olx.com.pk/thumbnails/348185258-400x300.jpeg
https://images.olx.com.pk/thumbnails/348185259-400x300.jpeg
https://images.olx.com.pk/thumbnails/348185260-400x300.jpeg
https://images.olx.com.pk/thumbnails/348185261-400x300.jpeg
https://images.olx.com.pk/thumbnails/348185262-400x300.jpeg
https://images.olx.com.pk/thumbnails/348185263-400x300.jpeg
https://images.olx.com.pk/thumbnails/348185264-400x300.jpeg
https://images.olx.com.pk/thumbnails/348185265-400x300.jpeg
https://images.olx.com.pk/thumbnails/348185266-400x300.jpeg
https://images.olx.com.pk/thumbnails/348185267-400x300.jpeg
https://images.olx.com.pk/thumbnails/348185268-400x300.jpeg"
Honda accord for sale,"Rs 2,700,000","85,000 km•2005",Accord,Honda accord 2005 import 2007 for sale genuine car,"ABS 
 Air Bags 
 Air Conditioning 
 Alloy Rims 
 AM/FM Radio 
 Climate Control 
 Front Speakers 
 Front Camera 
 Heated Seats 
 Immobilizer Key 
 Power Locks 
 Power Mirrors 
 Power Steering 
 Power Windows 
 Rear Seat Entertainment 
 Rear speakers 
 Steering Switches 
 USB and Auxillary Cable","Lake City, Lahore",https://images.olx.com.pk/thumbnails/348133802-400x300.jpeg,"https://images.olx.com.pk/thumbnails/348133803-400x300.jpeg
https://images.olx.com.pk/thumbnails/348133804-400x300.jpeg
https://images.olx.com.pk/thumbnails/348133805-400x300.jpeg"
Suzuki Mehran 2006 For Sale,"Rs 535,000",1 km•2006,Mehran VX,"- 2nd Owner (Smart Card + Biometric Available) 

- Engine achi condition me ha
- Tubeless tires
- Gari kuch jaga se shower ha
- Ac ka saman laga lekin kabh chalya nahi wo dekh k mechanic btaye ga 
- Price almost final ( Mouqy pe kami beshi)

JazakAllah","AM/FM Radio 
 Rear speakers","Misri Shah, Lahore",https://images.olx.com.pk/thumbnails/348196889-400x300.jpeg,"https://images.olx.com.pk/thumbnails/348196890-400x300.jpeg
https://images.olx.com.pk/thumbnails/348196891-400x300.jpeg
https://images.olx.com.pk/thumbnails/348196892-400x300.jpeg
https://images.olx.com.pk/thumbnails/348196893-400x300.jpeg
https://images.olx.com.pk/thumbnails/348196894-400x300.jpeg
https://images.olx.com.pk/thumbnails/348196895-400x300.jpeg
https://images.olx.com.pk/thumbnails/348196896-400x300.jpeg
https://images.olx.com.pk/thumbnails/348196897-400x300.jpeg
https://images.olx.com.pk/thumbnails/348196898-400x300.jpeg
https://images.olx.com.pk/thumbnails/348196899-400x300.jpeg
https://images.olx.com.pk/thumbnails/348196900-400x300.jpeg
https://images.olx.com.pk/thumbnails/348196901-400x300.jpeg"
Honda City Car for Sale 03066920408,"Rs 1,375,000","275,000 km•2004",City IVTEC,"Car Totally shower But Not Accidental. . Roof , Bunnet n Diggi Genium
contact Num #(View phone number)","Air Conditioning 
 Alloy Rims 
 AM/FM Radio 
 CD Player 
 Front Speakers 
 Power Locks 
 Power Mirrors 
 Power Steering 
 Rear speakers 
 Rear Camera","Okara, Punjab",https://images.olx.com.pk/thumbnails/348180119-400x300.jpeg,"https://images.olx.com.pk/thumbnails/348180120-400x300.jpeg
https://images.olx.com.pk/thumbnails/348180121-400x300.jpeg
https://images.olx.com.pk/thumbnails/348180122-400x300.jpeg
https://images.olx.com.pk/thumbnails/348180123-400x300.jpeg
https://images.olx.com.pk/thumbnails/348180124-400x300.jpeg
https://images.olx.com.pk/thumbnails/348180125-400x300.jpeg"
Honda Civic vti oriel prosmatec top of the line,"Rs 4,575,000","76,000 km•2017",Civic VTi Oriel Prosmatec,"Honda Civic vti Oriel  Prosmatec Model 2017 
Registered 2017 
First Owner excellent condition throughout petrol driven TV Navigation Back view Camera Sound System Multimedia Steering Cruise Control Climate control Fully Loaded Smooth Drive Not a single work required just buy and drive location karachi only calls will be entertained 
Demand(View phone number)/- 
Contact(View phone number)","ABS 
 Air Bags 
 Air Conditioning 
 Alloy Rims 
 Cruise Control 
 Climate Control 
 Front Speakers 
 Front Camera 
 Immobilizer Key 
 Keyless Entry 
 Navigation System 
 Power Locks 
 Power Mirrors 
 Power Windows 
 Rear AC Vents 
 Rear speakers 
 Sun Roof 
 Steering Switches 
 USB and Auxillary Cable","Bahadurabad, Karachi",https://images.olx.com.pk/thumbnails/348167649-400x300.jpeg,"https://images.olx.com.pk/thumbnails/348167650-400x300.jpeg
https://images.olx.com.pk/thumbnails/348167651-400x300.jpeg
https://images.olx.com.pk/thumbnails/348167652-400x300.jpeg
https://images.olx.com.pk/thumbnails/348167653-400x300.jpeg
https://images.olx.com.pk/thumbnails/348167654-400x300.jpeg"
Urgent Selling Suzuki Baleno 2005 JXR,"Rs 825,000","110,000 km•2005",Baleno,"Urgent Selling my SUZUKI BALENO (2005 JXR) in Cool Beige color

Immaculate interior and exterior condition, soundless engine (stock), powerful suspension, smooth drive, chilled AC, Power window, Power Steering and Original Immobilizer KEY. 

Driven throughout on Petrol. Just Buy and Drive. 

Equipped with the following:

1- 4 original Sony Xplod Speaker
2- 4 switchers
3- 4 tweeters
4- Amplifier 4 Channel (BM Classic)
5- Original Pioneer BASS TUBE
6- Android Panel
7- HD Camera
8- LED (headlights)

Original file available and transfer on my name. 

DEMAND: Rs 825,000/- slightly negotiable. 
Donot offer below Rs 800,000/-","Air Conditioning 
 AM/FM Radio 
 DVD Player 
 Front Speakers 
 Immobilizer Key 
 Power Locks 
 Power Mirrors 
 Power Steering 
 Power Windows 
 Rear speakers 
 Rear Camera 
 USB and Auxillary Cable","Gulistan-e-Jauhar Block 13, Karachi",https://images.olx.com.pk/thumbnails/348239026-400x300.jpeg,"https://images.olx.com.pk/thumbnails/348239027-400x300.jpeg
https://images.olx.com.pk/thumbnails/348239028-400x300.jpeg
https://images.olx.com.pk/thumbnails/348239029-400x300.jpeg
https://images.olx.com.pk/thumbnails/348239030-400x300.jpeg
https://images.olx.com.pk/thumbnails/348239031-400x300.jpeg
https://images.olx.com.pk/thumbnails/348239032-400x300.jpeg
https://images.olx.com.pk/thumbnails/348239033-400x300.jpeg
https://images.olx.com.pk/thumbnails/348239034-400x300.jpeg
https://images.olx.com.pk/thumbnails/348239035-400x300.jpeg
https://images.olx.com.pk/thumbnails/348239036-400x300.jpeg
https://images.olx.com.pk/thumbnails/348239037-400x300.jpeg
https://images.olx.com.pk/thumbnails/348239038-400x300.jpeg
https://images.olx.com.pk/thumbnails/348239039-400x300.jpeg
https://images.olx.com.pk/thumbnails/348239040-400x300.jpeg
https://images.olx.com.pk/thumbnails/348239041-400x300.jpeg
https://images.olx.com.pk/thumbnails/348239042-400x300.jpeg
https://images.olx.com.pk/thumbnails/348239043-400x300.jpeg
https://images.olx.com.pk/thumbnails/348239044-400x300.jpeg
https://images.olx.com.pk/thumbnails/348239045-400x300.jpeg"
honda city aspire 1.5 2016 model total januine,"Rs 3,075,000","112,000 km•2016",City Aspire,Honda city aspire(View phone number)end model total januine inner and outer 100%guaranted new poshish and bew tire suspension engine everything is perfect android panel installed total seals ok just like brand new car price is almost final little bit negotiable on the spot feel like new model car just buy and drive call(View phone number)Location ghouri town phase 4a islamabd,"ABS 
 Air Bags 
 Air Conditioning 
 Alloy Rims 
 AM/FM Radio 
 Front Speakers 
 Front Camera 
 Immobilizer Key 
 Navigation System 
 Power Locks 
 Power Mirrors 
 Power Steering 
 Power Windows 
 Rear speakers 
 Rear Camera","Ghauri Town Phase 4A, Islamabad",https://images.olx.com.pk/thumbnails/348133848-400x300.jpeg,"https://images.olx.com.pk/thumbnails/348133849-400x300.jpeg
https://images.olx.com.pk/thumbnails/348133850-400x300.jpeg
https://images.olx.com.pk/thumbnails/348133851-400x300.jpeg
https://images.olx.com.pk/thumbnails/348133852-400x300.jpeg
https://images.olx.com.pk/thumbnails/348133853-400x300.jpeg
https://images.olx.com.pk/thumbnails/348133854-400x300.jpeg
https://images.olx.com.pk/thumbnails/348133855-400x300.jpeg
https://images.olx.com.pk/thumbnails/348133856-400x300.jpeg
https://images.olx.com.pk/thumbnails/348133857-400x300.jpeg
https://images.olx.com.pk/thumbnails/348133858-400x300.jpeg
https://images.olx.com.pk/thumbnails/348133859-400x300.jpeg
https://images.olx.com.pk/thumbnails/348133860-400x300.jpeg
https://images.olx.com.pk/thumbnails/348133861-400x300.jpeg
https://images.olx.com.pk/thumbnails/348133862-400x300.jpeg
https://images.olx.com.pk/thumbnails/348133863-400x300.jpeg
https://images.olx.com.pk/thumbnails/348133864-400x300.jpeg
https://images.olx.com.pk/thumbnails/348133865-400x300.jpeg
https://images.olx.com.pk/thumbnails/348133866-400x300.jpeg
https://images.olx.com.pk/thumbnails/348133867-400x300.jpeg"
Honda City 2011,"Rs 1,950,000","95,000 km•2011",City IVTEC,Honda City 2011 original condition.,"ABS 
 Air Bags 
 Air Conditioning 
 CD Player 
 Front Speakers 
 Immobilizer Key 
 Keyless Entry 
 Power Locks 
 Power Mirrors 
 Power Steering 
 Power Windows","Gulshan-e-Iqbal, Karachi",https://images.olx.com.pk/thumbnails/348105006-400x300.jpeg,"https://images.olx.com.pk/thumbnails/348105007-400x300.jpeg
https://images.olx.com.pk/thumbnails/348105008-400x300.jpeg
https://images.olx.com.pk/thumbnails/348105009-400x300.jpeg
https://images.olx.com.pk/thumbnails/348105010-400x300.jpeg"
